method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
KS_sce_scaled_original,SCINA_sce_scaled_original,,0.610077656237732,0.571140650866087,0.566659175842018,0.736240391133873,0.797021267639884
KS_sce_unscaled_original,SCINA_sce_scaled_original,,0.613198470568909,0.571732338388659,0.566673762953671,0.73961328828298,0.797023036522296
Manual_sce_scaled_original,SCINA_sce_scaled_original,,0.706711286440185,0.495253506681444,0.501684856303133,0.670396162081706,0.774914755048471
Manual_sce_unscaled_original,SCINA_sce_scaled_original,,0.706711286440185,0.495253506681444,0.501684856303133,0.670396162081706,0.774914755048471
SCINA_sce_scaled_original,SCINA_sce_scaled_original,1,1,1,1,1,1
SCINA_sce_unscaled_original,SCINA_sce_scaled_original,,0.636717225391779,0.622012854276633,0.673332174270147,0.819494367693791,0.873671519125568
ACDC_sce_scaled_original,SCINA_sce_unscaled_original,0.514184726241869,0.136718703429328,0.0763093477725991,0.0192152820964947,0.0847606045288039,0.509634046756213
CyCadas_sce_scaled_original,SCINA_sce_unscaled_original,0.606510538402329,0.392551922550831,0.393192839764626,0.317097226902276,0.619870332181985,0.687273781750374
CyCadas_sce_unscaled_original,SCINA_sce_unscaled_original,0.606510538402329,0.392551922550831,0.393192839764626,0.317097226902276,0.619870332181985,0.687273781750374
ImmmCellTyper_sce_scaled_original,SCINA_sce_unscaled_original,,0.439418977283545,0.143994680371957,0.0605865020440433,0.208332096884981,0.530655428946308
ImmmCellTyper_sce_unscaled_original,SCINA_sce_unscaled_original,,0.521026331195574,0.104855060853463,0.0419615995269392,0.12541312611384,0.521170658646228
KS_sce_scaled_original,SCINA_sce_unscaled_original,,0.478595790286276,0.453477668851913,0.407210207593441,0.574578504180008,0.715838097768611
KS_sce_unscaled_original,SCINA_sce_unscaled_original,,0.472097476104097,0.452849542514458,0.406975184670406,0.578346771747636,0.71613186069454
Manual_sce_scaled_original,SCINA_sce_unscaled_original,,0.512016655419194,0.337265876813012,0.296162041233626,0.564984317349894,0.680536406990467
Manual_sce_unscaled_original,SCINA_sce_unscaled_original,,0.512016655419194,0.337265876813012,0.296162041233626,0.564984317349894,0.680536406990467
SCINA_sce_scaled_original,SCINA_sce_unscaled_original,,0.636717225391779,0.622012854276633,0.673332174270147,0.725005537016733,0.847716512660001
SCINA_sce_unscaled_original,SCINA_sce_unscaled_original,1,1,1,1,1,1
